docid,sentence1,sentence2,label,same_text
H2-EFin,"Bem, na província, às vezes brincava com outros meninos filhos do ... ou doutras pessoas do tribunal, ou da rua, até. Brincava... Ali, em Alenquer . Porque depois viemos, voltámos para [E2]Lisboa[/E2] , o meu pai esteve então, se não me engano, como ... chefe de gabinete do Ministro da Justiça , por isso, voltámos, que era o dr. Catanho de Meneses . Voltámos para [E1]Lisboa[/E1] e foi quando saímos de Santa Quitéria para a Rua Sampaio Pina . E na Rua Sampaio Pina , que era ao lado do Rádio Clube Português , a casa que ainda existe hoje e faz esquina para a rua Castilho , no primeiro andar, então alugámos essa casa, e aí então é que eu comecei foi a aprender o alemão com uma preceptora alemã, que era... que vinha três vezes por semana, dar-me lição de alemão. Não estava lá em casa, havia preceptoras internas, que estavam dentro, que eram internas, estavam lá, nas casas dos respectivos alunos, mas aquela senhora, a Kaethe Goethe , não. Vinha três vezes por semana dar-me a lição de alemão.",,ident,True
H2-EFin,"Bem, na província, às vezes brincava com outros meninos filhos do ... ou doutras pessoas do tribunal, ou da rua, até. Brincava... Ali, em Alenquer . Porque depois viemos, voltámos para [E2]Lisboa[/E2] , o meu pai esteve então, se não me engano, como ... chefe de gabinete do Ministro da Justiça , por isso, voltámos, que era o dr. Catanho de Meneses . Voltámos para Lisboa e foi quando saímos de [E1]Santa Quitéria[/E1] para a Rua Sampaio Pina . E na Rua Sampaio Pina , que era ao lado do Rádio Clube Português , a casa que ainda existe hoje e faz esquina para a rua Castilho , no primeiro andar, então alugámos essa casa, e aí então é que eu comecei foi a aprender o alemão com uma preceptora alemã, que era... que vinha três vezes por semana, dar-me lição de alemão. Não estava lá em casa, havia preceptoras internas, que estavam dentro, que eram internas, estavam lá, nas casas dos respectivos alunos, mas aquela senhora, a Kaethe Goethe , não. Vinha três vezes por semana dar-me a lição de alemão.",,incluido,True
H2-EFin,"Bem, na província, às vezes brincava com outros meninos filhos do ... ou doutras pessoas do tribunal, ou da rua, até. Brincava... Ali, em Alenquer . Porque depois viemos, voltámos para [E2]Lisboa[/E2] , o meu pai esteve então, se não me engano, como ... chefe de gabinete do Ministro da Justiça , por isso, voltámos, que era o dr. Catanho de Meneses . Voltámos para Lisboa e foi quando saímos de Santa Quitéria para a [E1]Rua Sampaio Pina[/E1] . E na Rua Sampaio Pina , que era ao lado do Rádio Clube Português , a casa que ainda existe hoje e faz esquina para a rua Castilho , no primeiro andar, então alugámos essa casa, e aí então é que eu comecei foi a aprender o alemão com uma preceptora alemã, que era... que vinha três vezes por semana, dar-me lição de alemão. Não estava lá em casa, havia preceptoras internas, que estavam dentro, que eram internas, estavam lá, nas casas dos respectivos alunos, mas aquela senhora, a Kaethe Goethe , não. Vinha três vezes por semana dar-me a lição de alemão.",,incluido,True
H2-EFin,"Bem, na província, às vezes brincava com outros meninos filhos do ... ou doutras pessoas do tribunal, ou da rua, até. Brincava... Ali, em Alenquer . Porque depois viemos, voltámos para [E2]Lisboa[/E2] , o meu pai esteve então, se não me engano, como ... chefe de gabinete do Ministro da Justiça , por isso, voltámos, que era o dr. Catanho de Meneses . Voltámos para Lisboa e foi quando saímos de Santa Quitéria para a Rua Sampaio Pina . E na Rua Sampaio Pina , que era ao lado do [E1]Rádio Clube Português[/E1] , a casa que ainda existe hoje e faz esquina para a rua Castilho , no primeiro andar, então alugámos essa casa, e aí então é que eu comecei foi a aprender o alemão com uma preceptora alemã, que era... que vinha três vezes por semana, dar-me lição de alemão. Não estava lá em casa, havia preceptoras internas, que estavam dentro, que eram internas, estavam lá, nas casas dos respectivos alunos, mas aquela senhora, a Kaethe Goethe , não. Vinha três vezes por semana dar-me a lição de alemão.",,incluido,True
H2-EFin,"Bem, na província, às vezes brincava com outros meninos filhos do ... ou doutras pessoas do tribunal, ou da rua, até. Brincava... Ali, em Alenquer . Porque depois viemos, voltámos para [E2]Lisboa[/E2] , o meu pai esteve então, se não me engano, como ... chefe de gabinete do Ministro da Justiça , por isso, voltámos, que era o dr. Catanho de Meneses . Voltámos para Lisboa e foi quando saímos de Santa Quitéria para a Rua Sampaio Pina . E na Rua Sampaio Pina , que era ao lado do Rádio Clube Português , a casa que ainda existe hoje e faz esquina para a rua [E1]Castilho[/E1] , no primeiro andar, então alugámos essa casa, e aí então é que eu comecei foi a aprender o alemão com uma preceptora alemã, que era... que vinha três vezes por semana, dar-me lição de alemão. Não estava lá em casa, havia preceptoras internas, que estavam dentro, que eram internas, estavam lá, nas casas dos respectivos alunos, mas aquela senhora, a Kaethe Goethe , não. Vinha três vezes por semana dar-me a lição de alemão.",,incluido,True
H2-EFin,"Era professora, quero dizer ela veio para [E1]Portugal[/E1] dar aulas. Não sei se veio interna para uma casa e depois deixou, estava...","Bem, na província, às vezes brincava com outros meninos filhos do ... ou doutras pessoas do tribunal, ou da rua, até. Brincava... Ali, em Alenquer . Porque depois viemos, voltámos para [E2]Lisboa[/E2] , o meu pai esteve então, se não me engano, como ... chefe de gabinete do Ministro da Justiça , por isso, voltámos, que era o dr. Catanho de Meneses . Voltámos para Lisboa e foi quando saímos de Santa Quitéria para a Rua Sampaio Pina . E na Rua Sampaio Pina , que era ao lado do Rádio Clube Português , a casa que ainda existe hoje e faz esquina para a rua Castilho , no primeiro andar, então alugámos essa casa, e aí então é que eu comecei foi a aprender o alemão com uma preceptora alemã, que era... que vinha três vezes por semana, dar-me lição de alemão. Não estava lá em casa, havia preceptoras internas, que estavam dentro, que eram internas, estavam lá, nas casas dos respectivos alunos, mas aquela senhora, a Kaethe Goethe , não. Vinha três vezes por semana dar-me a lição de alemão.",inclui,False
H2-EFin,"Não, ela era uma senhora que tinha vindo da Alemanha só para ser professora, e tinha... tinha-se instalado numa casa que era o lar das... das professoras de alemão, que havia nessa altura , na Avenida , perto da [E1]Praça da Alegria[/E1] . Lembro-me de ela lá me ter levado e tenho aí até fotografias de um cão, desse dito lar, a querer abraçar-me, coisa que eu não gostei nada, como continuo a não gostar de abraços de cão.","Bem, na província, às vezes brincava com outros meninos filhos do ... ou doutras pessoas do tribunal, ou da rua, até. Brincava... Ali, em Alenquer . Porque depois viemos, voltámos para [E2]Lisboa[/E2] , o meu pai esteve então, se não me engano, como ... chefe de gabinete do Ministro da Justiça , por isso, voltámos, que era o dr. Catanho de Meneses . Voltámos para Lisboa e foi quando saímos de Santa Quitéria para a Rua Sampaio Pina . E na Rua Sampaio Pina , que era ao lado do Rádio Clube Português , a casa que ainda existe hoje e faz esquina para a rua Castilho , no primeiro andar, então alugámos essa casa, e aí então é que eu comecei foi a aprender o alemão com uma preceptora alemã, que era... que vinha três vezes por semana, dar-me lição de alemão. Não estava lá em casa, havia preceptoras internas, que estavam dentro, que eram internas, estavam lá, nas casas dos respectivos alunos, mas aquela senhora, a Kaethe Goethe , não. Vinha três vezes por semana dar-me a lição de alemão.",incluido,False
H2-EFin,"Bem, na província, às vezes brincava com outros meninos filhos do ... ou doutras pessoas do tribunal, ou da rua, até. Brincava... Ali, em Alenquer . Porque depois viemos, voltámos para Lisboa , o meu pai esteve então, se não me engano, como ... chefe de gabinete do Ministro da Justiça , por isso, voltámos, que era o dr. Catanho de Meneses . Voltámos para Lisboa e foi quando saímos de Santa Quitéria para a [E2]Rua Sampaio Pina[/E2] . E na [E1]Rua Sampaio Pina[/E1] , que era ao lado do Rádio Clube Português , a casa que ainda existe hoje e faz esquina para a rua Castilho , no primeiro andar, então alugámos essa casa, e aí então é que eu comecei foi a aprender o alemão com uma preceptora alemã, que era... que vinha três vezes por semana, dar-me lição de alemão. Não estava lá em casa, havia preceptoras internas, que estavam dentro, que eram internas, estavam lá, nas casas dos respectivos alunos, mas aquela senhora, a Kaethe Goethe , não. Vinha três vezes por semana dar-me a lição de alemão.",,ident,True
H2-EFin,"Não, o Sirius veio muitíssimo mais tarde . Não, na [E1]Sampaio Pina[/E1] não tinha o Sirius , não tinha cão nenhum.","Bem, na província, às vezes brincava com outros meninos filhos do ... ou doutras pessoas do tribunal, ou da rua, até. Brincava... Ali, em Alenquer . Porque depois viemos, voltámos para Lisboa , o meu pai esteve então, se não me engano, como ... chefe de gabinete do Ministro da Justiça , por isso, voltámos, que era o dr. Catanho de Meneses . Voltámos para Lisboa e foi quando saímos de Santa Quitéria para a [E2]Rua Sampaio Pina[/E2] . E na Rua Sampaio Pina , que era ao lado do Rádio Clube Português , a casa que ainda existe hoje e faz esquina para a rua Castilho , no primeiro andar, então alugámos essa casa, e aí então é que eu comecei foi a aprender o alemão com uma preceptora alemã, que era... que vinha três vezes por semana, dar-me lição de alemão. Não estava lá em casa, havia preceptoras internas, que estavam dentro, que eram internas, estavam lá, nas casas dos respectivos alunos, mas aquela senhora, a Kaethe Goethe , não. Vinha três vezes por semana dar-me a lição de alemão.",ident,False
H2-EFin,"Não, o [E1]Sirius[/E1] veio muitíssimo mais tarde . Não, na Sampaio Pina não tinha o Sirius , não tinha cão nenhum.",D: Mas já tinhas o [E2]Sirius[/E2] ...,ident,False
